Time;Goodput;Data
85.248195;39.938436;10
87.222089;40.529025;20
88.979994;45.508716;30
90.622164;48.716028;40
92.259544;48.858542;50
93.896176;48.880872;60
95.482727;50.423844;70
97.020167;52.034551;80
98.481197;54.755891;90
99.881701;57.122293;100
101.149877;63.082727;110
102.350773;66.616926;120
103.451294;72.692843;130
104.526638;74.394798;140
105.582917;75.737566;150
106.593518;79.160816;160
107.599306;79.539625;170
108.597683;80.130051;180
109.574963;81.859856;190
110.555273;81.606839;200
111.522346;82.723848;210
112.483785;83.208607;220
113.439305;83.724046;230
114.399927;83.279375;240
115.347073;84.464275;250
116.285631;85.237140;260
117.216340;85.955975;270
118.141538;86.467978;280
119.081464;85.113083;290
120.052542;82.382672;300
121.052600;79.995360;310
122.099132;76.442956;320
123.132073;77.448760;330
124.192271;75.457603;340
125.236264;76.628866;350
126.274739;77.036038;360
127.330425;75.780109;370
128.442359;71.946716;380
129.532429;73.389782;390
130.623967;73.291081;400
131.728158;72.451234;410
132.859296;70.725234;420
134.014936;69.225710;430
135.233958;65.626379;440
136.479922;64.207313;450
137.733285;63.828276;460
138.969472;64.715128;470
140.212418;64.363214;480
141.475528;63.335735;490
142.755832;62.485160;500
144.066054;61.058355;510
145.358292;61.908101;520
146.661963;61.365176;530
148.002786;59.664848;540
149.312819;61.067164;550
150.624045;61.011603;560
151.942549;60.674825;570
153.245465;61.400735;580
154.628123;57.859572;590
155.946834;60.665301;600
157.316408;58.412324;610
158.676989;58.798410;620
160.163181;53.828846;630
161.685401;52.554821;640
163.182043;53.452997;650
164.650019;54.496804;660
166.123378;54.297697;670
167.623934;53.313572;680
169.181526;51.361332;690
170.776561;50.155639;700
172.414144;48.852486;710
174.038870;49.239072;720
175.662250;49.279897;730
177.288764;49.184944;740
178.900340;49.640848;750
180.541417;48.748474;760
182.147725;49.803649;770
183.779099;49.038418;780
185.389466;49.678117;790
187.004930;49.521376;800
188.646074;48.746484;810
190.283657;48.852486;820
191.933964;48.475829;830
193.563789;49.085024;840
195.325644;45.406688;850
196.853295;52.367982;860
198.503014;48.493107;870
200.138900;48.903163;880
201.795191;48.300691;890
203.419055;49.265209;900
205.070431;48.444449;910
206.722987;48.409857;920
208.380868;48.254368;930
210.026487;48.613926;940
211.690397;48.079524;950
213.354463;48.075016;960
215.001259;48.579180;970
216.659556;48.242263;980
218.329744;47.898799;990
219.979395;48.495106;1000
221.630519;48.451843;1010
223.300640;47.900721;1020
224.958403;48.257803;1030
226.619080;48.173125;1040
228.362724;45.880925;1050
229.935361;50.869972;1060
231.606991;47.857480;1070
233.283945;47.705542;1080
234.937201;48.389360;1090
236.613200;47.732725;1100
238.282058;47.936972;1110
239.934971;48.399402;1120
241.604309;47.923189;1130
243.265743;48.151175;1140
244.945022;47.639493;1150
246.617548;47.831842;1160
248.288056;47.889624;1170
249.960406;47.836876;1180
251.639365;47.648573;1190
253.429696;44.684475;1200
254.986110;51.400206;1210
256.655116;47.932722;1220
258.328082;47.819262;1230
260.008186;47.616100;1240
261.682194;47.789497;1250
263.349688;47.976185;1260
265.027516;47.680692;1270
266.709419;47.565169;1280
268.368502;48.219408;1290
270.053459;47.478956;1300
271.727817;47.779507;1310
273.385971;48.246423;1320
275.064379;47.664215;1330
276.740413;47.731729;1340
278.412075;47.856564;1350
280.092473;47.607769;1360
281.754954;48.120851;1370
283.433610;47.657173;1380
285.116770;47.529647;1390
286.780943;48.071925;1400
288.459130;47.670492;1410
290.140217;47.588257;1420
291.815686;47.747825;1430
293.497132;47.578096;1440
295.178506;47.580134;1450
296.855908;47.692801;1460
298.535183;47.639606;1470
300.211664;47.719002;1480
301.879565;47.964478;1490
303.559298;47.626617;1500
305.245471;47.444717;1510
306.901039;48.321784;1520
308.579869;47.652234;1530
310.257552;47.684813;1540
311.892923;48.918563;1550
313.564925;47.846833;1560
315.233922;47.932980;1570
