Bytes Rate: 952515328.00/1261842.62	Packets Rate: 106152.66/17052.36
Bytes Rate: 952637760.00/1230521.62	Packets Rate: 106165.74/16629.10
Bytes Rate: 952269888.00/1227185.00	Packets Rate: 106124.61/16584.01
Bytes Rate: 953376448.00/1219081.25	Packets Rate: 106247.91/16474.50
Bytes Rate: 952853056.00/1210975.25	Packets Rate: 106189.55/16364.64
Bytes Rate: 952732096.00/1215992.75	Packets Rate: 106176.07/16432.36
Bytes Rate: 953395136.00/1199994.75	Packets Rate: 106249.91/16216.15
Bytes Rate: 954363328.00/1187775.75	Packets Rate: 106357.90/16051.03
Bytes Rate: 954309760.00/1182556.50	Packets Rate: 106351.90/15980.49
Bytes Rate: 955718400.00/1170542.88	Packets Rate: 106508.89/15818.15
Bytes Rate: 956128576.00/1167314.00	Packets Rate: 106554.56/15774.51
Bytes Rate: 955087168.00/1175665.12	Packets Rate: 106438.56/15887.37
