Bytes Rate: 811098880.00/609576.19	Packets Rate: 91542.67/8236.27
Bytes Rate: 802792960.00/680421.56	Packets Rate: 90611.48/9194.57
Bytes Rate: 799314368.00/666513.38	Packets Rate: 90203.59/9006.62
Bytes Rate: 805036672.00/635993.75	Packets Rate: 90873.17/8594.43
Bytes Rate: 800926464.00/675758.94	Packets Rate: 90404.30/9131.86
Bytes Rate: 805175680.00/619265.38	Packets Rate: 90875.62/8368.45
Bytes Rate: 802150400.00/666971.88	Packets Rate: 90535.61/9013.13
Bytes Rate: 799988864.00/669573.00	Packets Rate: 90292.16/9048.28
Bytes Rate: 805650176.00/620272.25	Packets Rate: 90934.11/8381.33
Bytes Rate: 807703808.00/595953.94	Packets Rate: 91158.83/8053.25
Bytes Rate: 801877952.00/670640.31	Packets Rate: 90510.41/9062.66
Bytes Rate: 800883968.00/671656.06	Packets Rate: 90392.42/9076.42
