Bytes Rate: 1462474.75/1127846528.00	Packets Rate: 15558.26/127902.97
Bytes Rate: 1461185.50/1127652736.00	Packets Rate: 15544.53/127877.20
Bytes Rate: 1464946.62/1127563648.00	Packets Rate: 15584.67/127870.59
Bytes Rate: 1462369.62/1127730304.00	Packets Rate: 15557.16/127912.05
Bytes Rate: 1464123.38/1127543680.00	Packets Rate: 15575.79/127864.77
Bytes Rate: 1461740.88/1128139392.00	Packets Rate: 15550.44/127927.09
Bytes Rate: 1465937.00/1127939072.00	Packets Rate: 15595.07/127909.48
Bytes Rate: 1463250.00/1127622912.00	Packets Rate: 15566.55/127864.41
Bytes Rate: 1464484.50/1127179520.00	Packets Rate: 15579.64/127832.60
Bytes Rate: 1460915.62/1127559680.00	Packets Rate: 15541.66/127838.90
Bytes Rate: 1461361.88/1127418880.00	Packets Rate: 15546.40/127850.13
Bytes Rate: 1462322.75/1127723520.00	Packets Rate: 15556.62/127890.73
