Bytes Rate: 0.00/0.00	Packets Rate: 0.00/0.00
Bytes Rate: 244803120.00/3158840.00	Packets Rate: 161692.94/34422.07
Bytes Rate: 243834224.00/3332811.75	Packets Rate: 161052.98/36325.46
Bytes Rate: 244169584.00/3354768.00	Packets Rate: 161274.50/36570.42
Bytes Rate: 244492640.00/3466722.00	Packets Rate: 161487.88/35905.61
Bytes Rate: 244539168.00/3537393.50	Packets Rate: 161518.59/35769.38
Bytes Rate: 244599616.00/3510087.00	Packets Rate: 161558.53/35288.32
Bytes Rate: 244384784.00/3569316.25	Packets Rate: 161416.62/35824.38
Bytes Rate: 244452192.00/3552294.75	Packets Rate: 161461.16/35645.59
Bytes Rate: 247683648.00/2934925.00	Packets Rate: 163595.53/29421.65
Bytes Rate: 246186448.00/3219992.50	Packets Rate: 162606.62/32299.66
Bytes Rate: 248418320.00/2817137.00	Packets Rate: 164080.78/28243.19
