Bytes Rate: 244348864.00/2392879.50	Packets Rate: 161393.08/26065.50
Bytes Rate: 251578704.00/2763988.00	Packets Rate: 166168.27/30109.12
Bytes Rate: 252437824.00/3068611.00	Packets Rate: 166735.70/33432.26
Bytes Rate: 255044336.00/2901990.25	Packets Rate: 168457.30/29922.84
Bytes Rate: 256845872.00/2687039.75	Packets Rate: 169647.20/27133.69
Bytes Rate: 257635056.00/2467408.00	Packets Rate: 170169.17/24774.44
Bytes Rate: 257308256.00/2487451.75	Packets Rate: 169952.78/24937.57
Bytes Rate: 256865120.00/2472888.50	Packets Rate: 169659.95/24778.18
Bytes Rate: 256124864.00/2548799.50	Packets Rate: 169170.98/25543.04
Bytes Rate: 255938656.00/2540554.50	Packets Rate: 169048.00/25454.51
Bytes Rate: 256280448.00/2478047.00	Packets Rate: 169273.75/24826.38
Bytes Rate: 252548352.00/3239117.75	Packets Rate: 166808.69/32480.59
Bytes Rate: 252194256.00/3460087.25	Packets Rate: 166574.81/34697.12
