Bytes Rate: 292996128.00/164621.44	Packets Rate: 195070.67/2112.88
Bytes Rate: 293134400.00/166386.88	Packets Rate: 195162.72/2136.22
Bytes Rate: 293048896.00/166926.09	Packets Rate: 195105.78/2126.30
Bytes Rate: 292857600.00/167939.28	Packets Rate: 194978.44/2130.58
Bytes Rate: 292828064.00/168394.44	Packets Rate: 194958.77/2133.90
Bytes Rate: 293181824.00/169651.75	Packets Rate: 195194.30/2148.97
Bytes Rate: 293060960.00/168258.44	Packets Rate: 195113.83/2130.99
Bytes Rate: 293248160.00/167940.86	Packets Rate: 195238.45/2127.25
Bytes Rate: 293261152.00/167700.97	Packets Rate: 195247.11/2124.06
Bytes Rate: 293287168.00/165722.62	Packets Rate: 195264.44/2098.52
Bytes Rate: 292674784.00/165575.78	Packets Rate: 194856.72/2097.38
