Bytes Rate: 396049952.00/379127.56	Packets Rate: 263692.62/4829.40
Bytes Rate: 367066720.00/202209.20	Packets Rate: 244388.44/2549.10
Bytes Rate: 374506336.00/163721.06	Packets Rate: 249339.22/2031.52
Bytes Rate: 371477792.00/165607.27	Packets Rate: 247322.31/2043.13
Bytes Rate: 374676416.00/156294.55	Packets Rate: 249452.45/1920.04
Bytes Rate: 397948352.00/129843.98	Packets Rate: 264945.84/1563.01
Bytes Rate: 397727424.00/138171.78	Packets Rate: 264799.31/1587.00
Bytes Rate: 395442944.00/137895.09	Packets Rate: 263278.62/1582.50
Bytes Rate: 380937472.00/160513.53	Packets Rate: 253620.41/1829.62
Bytes Rate: 379856192.00/161838.50	Packets Rate: 252901.03/1840.41
Bytes Rate: 398802240.00/137595.03	Packets Rate: 265514.31/1561.10
Bytes Rate: 392770048.00/147996.12	Packets Rate: 261499.53/1690.03
Bytes Rate: 398948064.00/132813.88	Packets Rate: 265611.59/1514.51
Bytes Rate: 397126848.00/147591.53	Packets Rate: 264398.78/1685.85
Bytes Rate: 402146112.00/128298.09	Packets Rate: 267741.16/1466.23
Bytes Rate: 401731264.00/124435.52	Packets Rate: 267467.28/1424.06
Bytes Rate: 389067840.00/145416.38	Packets Rate: 259034.81/1651.26
Bytes Rate: 385058048.00/152344.48	Packets Rate: 256366.27/1735.06
Bytes Rate: 381920480.00/157536.48	Packets Rate: 254276.00/1795.77
Bytes Rate: 375372864.00/167745.25	Packets Rate: 249915.69/1916.69
