Bytes Rate: 1193953664.00/1046448.88	Packets Rate: 133425.89/13558.00
Bytes Rate: 1195998720.00/1045443.25	Packets Rate: 133641.22/13537.75
Bytes Rate: 1205112576.00/1090725.00	Packets Rate: 134654.97/14207.68
Bytes Rate: 1208642304.00/1097925.75	Packets Rate: 135060.00/14309.92
Bytes Rate: 1209295616.00/1073210.50	Packets Rate: 135128.25/13934.23
Bytes Rate: 1206457344.00/1070412.00	Packets Rate: 134804.17/13897.32
Bytes Rate: 1208957312.00/1072395.75	Packets Rate: 135094.95/13922.57
Bytes Rate: 1211761152.00/1085449.00	Packets Rate: 135421.23/14114.89
Bytes Rate: 1212358400.00/1086682.75	Packets Rate: 135478.06/14132.22
Bytes Rate: 1214585344.00/1085587.25	Packets Rate: 135730.02/14111.81
Bytes Rate: 1209875456.00/1086656.75	Packets Rate: 135202.11/14136.71
Bytes Rate: 1210436992.00/1092076.50	Packets Rate: 135270.19/14217.92
