Bytes Rate: 851491264.00/152658.81	Packets Rate: 563134.38/2025.56
Bytes Rate: 888545600.00/177728.17	Packets Rate: 587674.25/2332.29
Bytes Rate: 897498560.00/179964.69	Packets Rate: 593583.00/2364.32
Bytes Rate: 893986560.00/178027.67	Packets Rate: 591255.00/2336.33
Bytes Rate: 897056384.00/175708.80	Packets Rate: 593284.06/2306.08
Bytes Rate: 892327168.00/178760.70	Packets Rate: 590156.50/2341.27
Bytes Rate: 880403328.00/184533.55	Packets Rate: 582314.88/2426.15
Bytes Rate: 913552768.00/191738.69	Packets Rate: 604236.88/2519.04
Bytes Rate: 920124928.00/192755.03	Packets Rate: 608589.50/2534.01
Bytes Rate: 922187520.00/192601.56	Packets Rate: 609951.31/2534.76
Bytes Rate: 924813632.00/195421.30	Packets Rate: 611686.94/2573.93
Bytes Rate: 923782272.00/194043.62	Packets Rate: 611005.44/2551.49
