Bytes Rate: 1180908288.00/1041527.50	Packets Rate: 783289.00/13591.94
Bytes Rate: 1196380160.00/1068569.12	Packets Rate: 793549.94/13972.97
Bytes Rate: 1204024960.00/1088360.00	Packets Rate: 798627.69/14258.73
Bytes Rate: 1206650496.00/1092649.25	Packets Rate: 800375.62/14318.92
Bytes Rate: 1203183488.00/1089556.62	Packets Rate: 798072.12/14282.96
Bytes Rate: 1198765824.00/1076342.12	Packets Rate: 795148.75/14083.52
Bytes Rate: 1204454016.00/1115747.88	Packets Rate: 798920.56/14671.89
Bytes Rate: 1201904384.00/1118888.00	Packets Rate: 797220.38/14730.44
Bytes Rate: 1196980480.00/1064241.62	Packets Rate: 793953.62/13902.88
Bytes Rate: 1204115200.00/1086584.38	Packets Rate: 798699.88/14231.47
Bytes Rate: 1207384832.00/1096186.38	Packets Rate: 800869.12/14370.61
Bytes Rate: 1194142464.00/1056707.62	Packets Rate: 792073.75/13797.90
Bytes Rate: 1203198720.00/1098611.88	Packets Rate: 798088.94/14415.23
