Bytes Rate: 1278915200.00/273950.38	Packets Rate: 845846.81/4150.76
Bytes Rate: 1280180480.00/273219.41	Packets Rate: 846683.31/4139.69
Bytes Rate: 1280475392.00/275165.34	Packets Rate: 846883.31/4169.17
Bytes Rate: 1281016832.00/274711.56	Packets Rate: 847238.44/4162.30
Bytes Rate: 1268582400.00/259005.39	Packets Rate: 839017.38/3924.32
Bytes Rate: 1286115328.00/253890.84	Packets Rate: 850616.62/3846.83
Bytes Rate: 1290181888.00/252117.22	Packets Rate: 853307.12/3819.96
Bytes Rate: 1291869568.00/254149.00	Packets Rate: 854424.38/3850.74
Bytes Rate: 1292921088.00/253716.08	Packets Rate: 855115.75/3844.18
Bytes Rate: 1292900352.00/253806.02	Packets Rate: 855106.19/3845.55
Bytes Rate: 1292592256.00/253977.19	Packets Rate: 854902.69/3848.14
Bytes Rate: 1292436992.00/253178.30	Packets Rate: 854798.69/3836.03
Bytes Rate: 1292506624.00/254166.78	Packets Rate: 854838.56/3851.01
